Username,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Followers Count,Connections
itslitek,0.03735823882588392,6.874065521720137e-05,0.39656084656084656,0.025268674357668924,8,56
knownsupply,0.00133422281521014,0.0,0.3845561826577732,0.0032707293220556083,1,2
maxrichtermusic,0.0200133422281521,3.290499193228612e-05,0.40005337603416063,0.012848897025697747,8,30
enhypen,0.00533689126084056,5.608643409804731e-07,0.39271679329316217,0.005508395162140935,4,8
reins.cl,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
maggierogers,0.12808539026017343,0.0006512845445975451,0.4131753031973539,0.07851978528756923,57,192
mary_steenburgen,0.022681787858572378,1.9418177921686074e-05,0.3929226736566186,0.015311025115414755,9,34
nanamedeiros3,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
chameleo_,0.0466977985323549,8.143527822405169e-05,0.40513513513513516,0.034602747887020856,1,70
stepupwomensnetwork,0.01067378252168112,3.0304350290594386e-06,0.39656084656084656,0.009081984757973692,3,16
rollingstonescarnaby,0.01067378252168112,2.8069178053675748e-05,0.39624636531853025,0.009307511739538936,3,16
peter45778899,0.00266844563042028,0.0,0.3846548627149089,0.0033237226762184704,1,4
thescarletopera,0.045363575717144757,7.824841207203473e-05,0.39582783205703725,0.032220281365579334,3,68
jessiereyez,0.12941961307538358,0.0010575990254799985,0.41673616902974703,0.07845082048801007,68,194
melissa_oneill_3,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
akarinagodoy,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
joni381,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
sidsriram,0.04803202134756504,0.00010941906517972418,0.39983995732195254,0.030722113546225997,9,72
christylewis,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
shenseea,0.06270847231487658,0.00011620834153802914,0.4043701106015646,0.04135386335818094,37,94
elvis,0.02801867911941294,3.0473323002767058e-05,0.3945775204001053,0.01884380773097238,11,42
transistorgigs,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
universalmperu,0.00400266844563042,1.5506581294523843e-06,0.33602331315848466,0.003760290129112638,0,6
d4vddd,0.04402935290193462,0.00040728868729244464,0.40778019586507075,0.02649871580506098,0,66
jarule,0.045363575717144757,6.609773526295046e-05,0.40005337603416063,0.03119135773948046,13,68
dababy,0.07071380920613742,0.0001827216238632008,0.40744767599891274,0.04911031178214645,50,106
orianasabatini,0.01067378252168112,1.630602522175849e-05,0.3765385581512183,0.006083548586494835,0,16
zoetheband,0.00400266844563042,4.3335133251085245e-06,0.32750710072099626,0.0020853174802161717,0,6
cassiem12,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
bendebinderup,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
amandareifer,0.06404269513008672,0.00010973221049703797,0.4022001609873893,0.04435444873229001,5,96
markatkinsonw5,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
iamfreyaskye,0.01200800533689126,1.0763886447246812e-05,0.3917929952953476,0.011231909992101427,1,18
el.wonejo,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
bdsimm17,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
sebytb,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
deccaclassics,0.02134756504336224,2.204542582658576e-05,0.39888238424693984,0.017572379493332554,7,32
jammy2239,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
antitheticaldream.girl,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
pammi309,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
lgante_keloke,0.04936624416277518,0.0017941738501302505,0.4309948246118459,0.015499663109061073,12,74
louiethesinger,0.01067378252168112,4.601954316023882e-06,0.38985695708712614,0.0074749302166985075,4,16
kashdoll,0.033355570380253496,1.336319506739541e-05,0.39888238424693984,0.025919121894087453,21,50
lmrenfrey,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
irish_awalker23,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
appletv,0.04803202134756504,0.00030033878044889505,0.40382543103448276,0.030391032164188793,27,72
scalibarts,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
fc.moratchile,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
pulsarchile,0.00266844563042028,5.263485846941282e-06,0.32707833296967054,0.001756714150905075,0,4
annemarit579,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
lisa_k_perry,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
nicole.oida,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
carsonlueders,0.01601067378252168,1.0150333237422444e-05,0.3993074054342035,0.014776763203121348,7,24
hypebeast,0.06537691794529686,0.00022088667348193886,0.40744767599891274,0.036934070173616496,49,98
atorecords,0.02401601067378252,3.194361317161199e-05,0.40037393162393164,0.017925154042735633,7,36
charlytrelawnyblack,0.00800533689126084,1.3548650432139379e-05,0.3422374429223744,0.0072689879934469005,0,12
officialqueenmusic,0.05203468979319546,0.0008293999166661978,0.4317396313364055,0.03241260765049233,27,78
_hianna_,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
daniellef4,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
poonehghana,0.02935290193462308,6.821373225121881e-05,0.3930256948085999,0.0116140511554652,17,44
westsideboogie,0.02935290193462308,2.7938026016381153e-05,0.4017689627445725,0.019570972034633333,17,44
thedarkeighties,0.01467645096731154,1.881916318663058e-05,0.3867389060887513,0.004662933654572118,2,22
sarahvflanigan,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
serge_marchant,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
wowgr8deluxe,0.06270847231487658,0.0001909000028394688,0.4022001609873893,0.03386604800132971,12,94
candicegaines,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
aodell6204,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
vanityfair,0.08138759172781854,0.00025617635021906647,0.4075584556824361,0.0556934664460818,36,122
nylonmag,0.10940627084723148,0.0004137586949339299,0.4076692956214305,0.06798708352627154,20,164
sarah_fanuko,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
billboardcharts,0.03602401601067378,0.00011425713858541528,0.40447922288181326,0.019927128930508624,23,54
